"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
27,7,20,"19710527MIBES","Benton Harbor High School","High","1971-05-27",1971,"NA:NA:NA",NA,NA,"Saint Joseph","MI",42.102489,-86.4565803,"Inside School Building","Inside School Building","0-5",-1,0.4412666072603315,0.7041750433854759,0.7439569579437375,0.35750612802803516,0.9251686518546194,0.18215506244450808,0.5136754494160414,1,0,0,0,1,1,1114288.911143527,-229841.36920051672,1,250,0.6900071015115827,0.5923652856145054,1
28,8,21,"19710602NYEAE","East Aurora Middle School","Middle","1971-06-02",1971,"NA:NA:NA",NA,NA,"East Aurora","NY",42.768796,-78.617873,"Classroom","Inside School Building","0-5",-1,0.17502732411958277,0.8006788094062358,0.5293492011260241,0.4687041724100709,0.06088941521011293,0.4300019727088511,0.6462067028041929,0,0,0,0,0,0,1725532.982734709,-20586.829096718353,1,548,0.3217255377676338,0.8509747583884746,1
29,9,22,"19710820PAMOM","Monessen High School","High","1971-08-20",1971,"NA:NA:NA",NA,NA,"Monessen","PA",40.1395742,-79.8699115,"Outside on School Property","Outside on School Property","5-10",-1,0.21072527463547885,0.3913800490554422,0.023125068051740527,0.68581906077452,0.1519100251607597,0.3349913840647787,0.8818625684361905,1,0,0,0,1,1,1695924.9525274846,-332186.86850112735,1,1179,0.45688675553537905,0.7110534131061286,1
30,10,23,"19710909TXDUL","Dunbar High School","High","1971-09-09",1971,"NA:NA:NA",NA,NA,"Lubbock","TX",33.57092,-101.81489,"Inside School Building","Inside School Building","5-10",-1,0.9098960906267166,0.5894874115474522,0.23701121611520648,0.11754780355840921,0.5381058221682906,0.4254365395754576,0.3507200765889138,1,0,0,1,0,1,-169257.2713811625,-1265111.7544528968,1,537,0.33931258018128574,0.02818210981786251,1
31,11,24,"19710924NYMCB","McKinley Vocational High School","High","1971-09-24",1971,"NA:NA:NA",NA,NA,"Buffalo","NY",42.93814,-78.87981,"Classroom","Inside School Building","0-5",-1,0.3248420446179807,0.47493223613128066,0.45382209890522063,0.06004025531001389,0.3120469069108367,0.5185152953490615,0.7089589477982372,1,0,0,1,0,1,1700257.2771894443,-7747.247533624068,1,1135,0.7095798547379673,0.8631965059321374,1
32,12,3,"19710928MNCEM","Central High School","High","1971-09-28",1971,"12:00:00",12,12,"Minneapolis","MN",44.94052,-93.27106,"Inside School Building","Inside School Building",NA,12,0.5220037223771214,0.7078320914879441,0.47997446567751467,0.774765721289441,0.1379653881303966,0.8339668449480087,0.0997131357435137,0,0,0,0,0,0,530375.4931238118,15359.909103149876,2,48,0.3118697467725724,0.43805950437672436,1
33,13,25,"19710929VAPEP","Peabody Junior High School","JuniorHigh","1971-09-29",1971,"NA:NA:NA",NA,NA,"Petersburg","VA",37.185589,-77.399333,"Classroom","Inside School Building","0-5",-1,0.9294889126904309,0.9328871830366552,0.18609497300349176,0.34952586237341166,0.5015355148352683,0.7726538649294525,0.8973853983916342,2,0,1,1,2,3,1981189.9462475078,-597858.5623057067,1,1360,0.8859748512040824,0.20582692022435367,1
34,14,1,"19711028MDCIB","City College High School","High","1971-10-28",1971,"11:50:00",11,11.83,"Baltimore","MD",39.3910947,-76.5801585,"Hallway","Inside School Building","0-5",11,0.2642880133353174,0.18885549600236118,0.6603742293082178,0.03903091908432543,0.6397275817580521,0.49430662114173174,0.8716397699899971,1,0,0,0,1,1,1986638.226997265,-339805.6572835557,1,413,0.39658459462225437,0.6725703105330467,1
35,15,1,"19711029MDFRB","Frederick Douglass High School","High","1971-10-29",1971,"15:00:00",15,15,"Baltimore","MD",39.31524,-76.653916,"Parking Lot","Outside on School Property","5-10",15,0.30239231791347265,0.7347067587543279,0.8634148968849331,0.2698847516439855,0.8288379888981581,0.08893890446051955,0.831204469781369,2,0,0,0,2,2,1982820.7279388327,-349772.8398188035,2,66,0.2745453636161983,0.11789179663173854,1
36,16,2,"19711029MDFOB","Forest Park High School","High","1971-10-29",1971,"11:55:00",11,11.92,"Baltimore","MD",39.332209,-76.689976,"Beside Building","Outside on School Property","0-5",11,0.9258382339030504,0.4382603126578033,0.7249222132377326,0.3269044365733862,0.4756064785178751,0.5412250279914588,0.9713975135236979,1,0,0,0,1,1,1979361.6322644616,-348806.48640003783,1,652,0.8150814950931817,0.29163059825077653,1
